nohup: ignoring input
/work/ariyanzarei/anaconda3/envs/charcoal_dryrot/lib/python3.8/site-packages/torchvision/models/_utils.py:135: UserWarning: Using 'weights' as positional parameter(s) is deprecated since 0.13 and will be removed in 0.15. Please use keyword parameter(s) instead.
  warnings.warn(
/work/ariyanzarei/anaconda3/envs/charcoal_dryrot/lib/python3.8/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and will be removed in 0.15. The current behavior is equivalent to passing `weights=MobileNet_V3_Small_Weights.IMAGENET1K_V1`. You can also use `weights=MobileNet_V3_Small_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
GPU available: True (cuda), used: True
TPU available: False, using: 0 TPU cores
IPU available: False, using: 0 IPUs
HPU available: False, using: 0 HPUs
Missing logger folder: /space/ariyanzarei/charcoal_dry_rot/models/model_checkpoints/MobileNetV3Small/lightning_logs
LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [0,1]

  | Name        | Type              | Params
--------------------------------------------------
0 | loss_fn     | BCEWithLogitsLoss | 0     
1 | accuracy_fn | Accuracy          | 0     
2 | model       | MobileNetV3       | 1.5 M 
--------------------------------------------------
1.5 M     Trainable params
0         Non-trainable params
1.5 M     Total params
6.076     Total estimated model params size (MB)

Sanity Checking: 0it [00:00, ?it/s]/work/ariyanzarei/anaconda3/envs/charcoal_dryrot/lib/python3.8/site-packages/pytorch_lightning/trainer/connectors/data_connector.py:236: PossibleUserWarning: The dataloader, val_dataloader 0, does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` (try 128 which is the number of cpus on this machine) in the `DataLoader` init to improve performance.
  rank_zero_warn(

Sanity Checking:   0%|          | 0/2 [00:00<?, ?it/s]
Sanity Checking DataLoader 0:   0%|          | 0/2 [00:00<?, ?it/s]
Sanity Checking DataLoader 0:  50%|█████     | 1/2 [00:01<00:01,  1.42s/it]
Sanity Checking DataLoader 0: 100%|██████████| 2/2 [00:01<00:00,  1.40it/s]
                                                                           /work/ariyanzarei/anaconda3/envs/charcoal_dryrot/lib/python3.8/site-packages/pytorch_lightning/trainer/connectors/data_connector.py:236: PossibleUserWarning: The dataloader, train_dataloader, does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` (try 128 which is the number of cpus on this machine) in the `DataLoader` init to improve performance.
  rank_zero_warn(

Training: 0it [00:00, ?it/s]
Training:   0%|          | 0/27187 [00:00<?, ?it/s]
Epoch 0:   0%|          | 0/27187 [00:00<?, ?it/s] 
Epoch 0:   0%|          | 1/27187 [00:00<4:34:29,  1.65it/s]
Epoch 0:   0%|          | 1/27187 [00:00<4:34:44,  1.65it/s, loss=0.572, v_num=0, train_loss=0.572, train_acc=0.625]
Epoch 0:   0%|          | 2/27187 [00:00<2:25:56,  3.10it/s, loss=0.572, v_num=0, train_loss=0.572, train_acc=0.625]
Epoch 0:   0%|          | 2/27187 [00:00<2:26:02,  3.10it/s, loss=0.581, v_num=0, train_loss=0.590, train_acc=0.875]
Epoch 0:   0%|          | 3/27187 [00:00<1:42:55,  4.40it/s, loss=0.581, v_num=0, train_loss=0.590, train_acc=0.875]
Epoch 0:   0%|          | 3/27187 [00:00<1:42:58,  4.40it/s, loss=0.604, v_num=0, train_loss=0.649, train_acc=0.750]
Epoch 0:   0%|          | 4/27187 [00:00<1:21:10,  5.58it/s, loss=0.604, v_num=0, train_loss=0.649, train_acc=0.750]
Epoch 0:   0%|          | 4/27187 [00:00<1:21:12,  5.58it/s, loss=0.603, v_num=0, train_loss=0.601, train_acc=0.875]
Epoch 0:   0%|          | 5/27187 [00:00<1:08:16,  6.63it/s, loss=0.603, v_num=0, train_loss=0.601, train_acc=0.875]
Epoch 0:   0%|          | 5/27187 [00:00<1:08:18,  6.63it/s, loss=0.576, v_num=0, train_loss=0.468, train_acc=0.875]
Epoch 0:   0%|          | 6/27187 [00:00<59:33,  7.61it/s, loss=0.576, v_num=0, train_loss=0.468, train_acc=0.875]  
Epoch 0:   0%|          | 6/27187 [00:00<59:35,  7.60it/s, loss=0.566, v_num=0, train_loss=0.517, train_acc=0.750]
Epoch 0:   0%|          | 7/27187 [00:00<53:24,  8.48it/s, loss=0.566, v_num=0, train_loss=0.517, train_acc=0.750]
Epoch 0:   0%|          | 7/27187 [00:00<53:25,  8.48it/s, loss=0.536, v_num=0, train_loss=0.355, train_acc=0.750]
Epoch 0:   0%|          | 8/27187 [00:00<48:42,  9.30it/s, loss=0.536, v_num=0, train_loss=0.355, train_acc=0.750]
Epoch 0:   0%|          | 8/27187 [00:00<48:44,  9.29it/s, loss=0.531, v_num=0, train_loss=0.495, train_acc=0.750]
Epoch 0:   0%|          | 9/27187 [00:00<45:09, 10.03it/s, loss=0.531, v_num=0, train_loss=0.495, train_acc=0.750]
Epoch 0:   0%|          | 9/27187 [00:00<45:10, 10.03it/s, loss=0.575, v_num=0, train_loss=0.931, train_acc=0.375]
Epoch 0:   0%|          | 10/27187 [00:00<42:14, 10.72it/s, loss=0.575, v_num=0, train_loss=0.931, train_acc=0.375]
Epoch 0:   0%|          | 10/27187 [00:00<42:15, 10.72it/s, loss=0.589, v_num=0, train_loss=0.714, train_acc=0.625]
Epoch 0:   0%|          | 11/27187 [00:00<40:01, 11.32it/s, loss=0.589, v_num=0, train_loss=0.714, train_acc=0.625]
Epoch 0:   0%|          | 11/27187 [00:00<40:02, 11.31it/s, loss=0.613, v_num=0, train_loss=0.853, train_acc=0.500]
Epoch 0:   0%|          | 12/27187 [00:01<38:01, 11.91it/s, loss=0.613, v_num=0, train_loss=0.853, train_acc=0.500]
Epoch 0:   0%|          | 12/27187 [00:01<38:02, 11.90it/s, loss=0.591, v_num=0, train_loss=0.341, train_acc=0.875]
Epoch 0:   0%|          | 13/27187 [00:01<36:24, 12.44it/s, loss=0.591, v_num=0, train_loss=0.341, train_acc=0.875]
Epoch 0:   0%|          | 13/27187 [00:01<36:25, 12.44it/s, loss=0.577, v_num=0, train_loss=0.420, train_acc=0.625]
Epoch 0:   0%|          | 14/27187 [00:01<34:57, 12.95it/s, loss=0.577, v_num=0, train_loss=0.420, train_acc=0.625]
Epoch 0:   0%|          | 14/27187 [00:01<34:58, 12.95it/s, loss=0.567, v_num=0, train_loss=0.427, train_acc=0.750]
Epoch 0:   0%|          | 15/27187 [00:01<33:44, 13.42it/s, loss=0.567, v_num=0, train_loss=0.427, train_acc=0.750]
Epoch 0:   0%|          | 15/27187 [00:01<33:45, 13.42it/s, loss=0.584, v_num=0, train_loss=0.822, train_acc=0.750]
Epoch 0:   0%|          | 16/27187 [00:01<32:38, 13.88it/s, loss=0.584, v_num=0, train_loss=0.822, train_acc=0.750]
Epoch 0:   0%|          | 16/27187 [00:01<32:38, 13.87it/s, loss=0.566, v_num=0, train_loss=0.308, train_acc=0.875]
Epoch 0:   0%|          | 17/27187 [00:01<31:41, 14.29it/s, loss=0.566, v_num=0, train_loss=0.308, train_acc=0.875]
Epoch 0:   0%|          | 17/27187 [00:01<31:41, 14.29it/s, loss=0.56, v_num=0, train_loss=0.449, train_acc=0.625] 
Epoch 0:   0%|          | 18/27187 [00:01<30:48, 14.70it/s, loss=0.56, v_num=0, train_loss=0.449, train_acc=0.625]
Epoch 0:   0%|          | 18/27187 [00:01<30:48, 14.69it/s, loss=0.552, v_num=0, train_loss=0.422, train_acc=0.750]
Epoch 0:   0%|          | 19/27187 [00:01<30:04, 15.06it/s, loss=0.552, v_num=0, train_loss=0.422, train_acc=0.750]
Epoch 0:   0%|          | 19/27187 [00:01<30:05, 15.05it/s, loss=0.559, v_num=0, train_loss=0.689, train_acc=0.625]
Epoch 0:   0%|          | 20/27187 [00:01<29:24, 15.40it/s, loss=0.559, v_num=0, train_loss=0.689, train_acc=0.625]
Epoch 0:   0%|          | 20/27187 [00:01<29:25, 15.39it/s, loss=0.559, v_num=0, train_loss=0.566, train_acc=0.875]
Epoch 0:   0%|          | 21/27187 [00:01<28:46, 15.73it/s, loss=0.559, v_num=0, train_loss=0.566, train_acc=0.875]
Epoch 0:   0%|          | 21/27187 [00:01<28:47, 15.73it/s, loss=0.553, v_num=0, train_loss=0.448, train_acc=0.750]
Epoch 0:   0%|          | 22/27187 [00:01<28:14, 16.03it/s, loss=0.553, v_num=0, train_loss=0.448, train_acc=0.750]
Epoch 0:   0%|          | 22/27187 [00:01<28:15, 16.03it/s, loss=0.549, v_num=0, train_loss=0.510, train_acc=0.875]
Epoch 0:   0%|          | 23/27187 [00:01<27:42, 16.34it/s, loss=0.549, v_num=0, train_loss=0.510, train_acc=0.875]
Epoch 0:   0%|          | 23/27187 [00:01<27:43, 16.33it/s, loss=0.55, v_num=0, train_loss=0.669, train_acc=0.750] 
Epoch 0:   0%|          | 24/27187 [00:01<27:16, 16.60it/s, loss=0.55, v_num=0, train_loss=0.669, train_acc=0.750]
Epoch 0:   0%|          | 24/27187 [00:01<27:16, 16.60it/s, loss=0.552, v_num=0, train_loss=0.630, train_acc=0.625]
Epoch 0:   0%|          | 25/27187 [00:01<26:57, 16.79it/s, loss=0.552, v_num=0, train_loss=0.630, train_acc=0.625]
Epoch 0:   0%|          | 25/27187 [00:01<26:57, 16.79it/s, loss=0.554, v_num=0, train_loss=0.512, train_acc=0.750]
Epoch 0:   0%|          | 26/27187 [00:01<26:31, 17.06it/s, loss=0.554, v_num=0, train_loss=0.512, train_acc=0.750]
Epoch 0:   0%|          | 26/27187 [00:01<26:32, 17.06it/s, loss=0.551, v_num=0, train_loss=0.453, train_acc=0.750]
Epoch 0:   0%|          | 27/27187 [00:01<26:10, 17.30it/s, loss=0.551, v_num=0, train_loss=0.453, train_acc=0.750]
Epoch 0:   0%|          | 27/27187 [00:01<26:10, 17.29it/s, loss=0.552, v_num=0, train_loss=0.388, train_acc=0.750]
Epoch 0:   0%|          | 28/27187 [00:01<25:55, 17.46it/s, loss=0.552, v_num=0, train_loss=0.388, train_acc=0.750]
Epoch 0:   0%|          | 28/27187 [00:01<25:55, 17.46it/s, loss=0.56, v_num=0, train_loss=0.649, train_acc=0.375] 
Epoch 0:   0%|          | 29/27187 [00:01<25:34, 17.69it/s, loss=0.56, v_num=0, train_loss=0.649, train_acc=0.375]
Epoch 0:   0%|          | 29/27187 [00:01<25:35, 17.69it/s, loss=0.538, v_num=0, train_loss=0.496, train_acc=0.875]
Epoch 0:   0%|          | 30/27187 [00:01<25:17, 17.89it/s, loss=0.538, v_num=0, train_loss=0.496, train_acc=0.875]
Epoch 0:   0%|          | 30/27187 [00:01<25:18, 17.89it/s, loss=0.533, v_num=0, train_loss=0.598, train_acc=0.875]
Epoch 0:   0%|          | 31/27187 [00:01<24:59, 18.11it/s, loss=0.533, v_num=0, train_loss=0.598, train_acc=0.875]
Epoch 0:   0%|          | 31/27187 [00:01<25:00, 18.10it/s, loss=0.507, v_num=0, train_loss=0.341, train_acc=0.750]
Epoch 0:   0%|          | 32/27187 [00:01<24:44, 18.30it/s, loss=0.507, v_num=0, train_loss=0.341, train_acc=0.750]
Epoch 0:   0%|          | 32/27187 [00:01<24:44, 18.29it/s, loss=0.514, v_num=0, train_loss=0.490, train_acc=0.750]
Epoch 0:   0%|          | 33/27187 [00:01<24:35, 18.41it/s, loss=0.514, v_num=0, train_loss=0.490, train_acc=0.750]
Epoch 0:   0%|          | 33/27187 [00:01<24:35, 18.41it/s, loss=0.519, v_num=0, train_loss=0.524, train_acc=0.750]
Epoch 0:   0%|          | 34/27187 [00:01<24:20, 18.60it/s, loss=0.519, v_num=0, train_loss=0.524, train_acc=0.750]
Epoch 0:   0%|          | 34/27187 [00:01<24:20, 18.59it/s, loss=0.528, v_num=0, train_loss=0.592, train_acc=0.750]
Epoch 0:   0%|          | 35/27187 [00:01<24:06, 18.77it/s, loss=0.528, v_num=0, train_loss=0.592, train_acc=0.750]
Epoch 0:   0%|          | 35/27187 [00:01<24:06, 18.76it/s, loss=0.504, v_num=0, train_loss=0.348, train_acc=0.750]
Epoch 0:   0%|          | 36/27187 [00:01<23:59, 18.86it/s, loss=0.504, v_num=0, train_loss=0.348, train_acc=0.750]
Epoch 0:   0%|          | 36/27187 [00:01<23:59, 18.86it/s, loss=0.515, v_num=0, train_loss=0.523, train_acc=0.750]
Epoch 0:   0%|          | 37/27187 [00:01<23:46, 19.03it/s, loss=0.515, v_num=0, train_loss=0.523, train_acc=0.750]
Epoch 0:   0%|          | 37/27187 [00:01<23:46, 19.03it/s, loss=0.517, v_num=0, train_loss=0.489, train_acc=0.750]
Epoch 0:   0%|          | 38/27187 [00:01<23:35, 19.18it/s, loss=0.517, v_num=0, train_loss=0.489, train_acc=0.750]
Epoch 0:   0%|          | 38/27187 [00:01<23:36, 19.17it/s, loss=0.524, v_num=0, train_loss=0.561, train_acc=0.875]
Epoch 0:   0%|          | 39/27187 [00:02<23:24, 19.33it/s, loss=0.524, v_num=0, train_loss=0.561, train_acc=0.875]
Epoch 0:   0%|          | 39/27187 [00:02<23:24, 19.32it/s, loss=0.517, v_num=0, train_loss=0.556, train_acc=0.625]
Epoch 0:   0%|          | 40/27187 [00:02<23:13, 19.49it/s, loss=0.517, v_num=0, train_loss=0.556, train_acc=0.625]
Epoch 0:   0%|          | 40/27187 [00:02<23:13, 19.48it/s, loss=0.509, v_num=0, train_loss=0.400, train_acc=0.750]
Epoch 0:   0%|          | 41/27187 [00:02<23:03, 19.62it/s, loss=0.509, v_num=0, train_loss=0.400, train_acc=0.750]
Epoch 0:   0%|          | 41/27187 [00:02<23:04, 19.61it/s, loss=0.51, v_num=0, train_loss=0.471, train_acc=0.750] 
Epoch 0:   0%|          | 42/27187 [00:02<22:56, 19.71it/s, loss=0.51, v_num=0, train_loss=0.471, train_acc=0.750]
Epoch 0:   0%|          | 42/27187 [00:02<22:57, 19.71it/s, loss=0.495, v_num=0, train_loss=0.203, train_acc=1.000]
Epoch 0:   0%|          | 43/27187 [00:02<22:48, 19.83it/s, loss=0.495, v_num=0, train_loss=0.203, train_acc=1.000]
Epoch 0:   0%|          | 43/27187 [00:02<22:49, 19.82it/s, loss=0.51, v_num=0, train_loss=0.968, train_acc=0.500] 
Epoch 0:   0%|          | 44/27187 [00:02<22:39, 19.96it/s, loss=0.51, v_num=0, train_loss=0.968, train_acc=0.500]
Epoch 0:   0%|          | 44/27187 [00:02<22:39, 19.96it/s, loss=0.499, v_num=0, train_loss=0.414, train_acc=0.750]
Epoch 0:   0%|          | 45/27187 [00:02<22:31, 20.08it/s, loss=0.499, v_num=0, train_loss=0.414, train_acc=0.750]
Epoch 0:   0%|          | 45/27187 [00:02<22:31, 20.08it/s, loss=0.507, v_num=0, train_loss=0.672, train_acc=0.750]
Epoch 0:   0%|          | 46/27187 [00:02<22:27, 20.14it/s, loss=0.507, v_num=0, train_loss=0.672, train_acc=0.750]
Epoch 0:   0%|          | 46/27187 [00:02<22:27, 20.14it/s, loss=0.511, v_num=0, train_loss=0.529, train_acc=0.875]
Epoch 0:   0%|          | 47/27187 [00:02<22:20, 20.24it/s, loss=0.511, v_num=0, train_loss=0.529, train_acc=0.875]
Epoch 0:   0%|          | 47/27187 [00:02<22:21, 20.24it/s, loss=0.505, v_num=0, train_loss=0.278, train_acc=0.875]
Epoch 0:   0%|          | 48/27187 [00:02<22:13, 20.36it/s, loss=0.505, v_num=0, train_loss=0.278, train_acc=0.875]
Epoch 0:   0%|          | 48/27187 [00:02<22:13, 20.36it/s, loss=0.493, v_num=0, train_loss=0.406, train_acc=0.875]
Epoch 0:   0%|          | 49/27187 [00:02<22:05, 20.48it/s, loss=0.493, v_num=0, train_loss=0.406, train_acc=0.875]
Epoch 0:   0%|          | 49/27187 [00:02<22:05, 20.47it/s, loss=0.493, v_num=0, train_loss=0.505, train_acc=0.625]
Epoch 0:   0%|          | 50/27187 [00:02<21:59, 20.56it/s, loss=0.493, v_num=0, train_loss=0.505, train_acc=0.625]
Epoch 0:   0%|          | 50/27187 [00:02<22:00, 20.56it/s, loss=0.481, v_num=0, train_loss=0.353, train_acc=0.875]
Epoch 0:   0%|          | 51/27187 [00:02<21:55, 20.63it/s, loss=0.481, v_num=0, train_loss=0.353, train_acc=0.875]
